channel_name,title,views,upload_date,duration,url
MrBeast,"I Put 1,000,000,000 Christmas Lights On A House (World Record)",132M views,4 years ago,,https://www.youtube.com/watch?v=f0c7pSCoZqE
MrBeast,I Opened A Restaurant That Pays You To Eat At It,202M views,4 years ago,,https://www.youtube.com/watch?v=dg2Ag3e8W-Q
MrBeast,"I Gave People $1,000,000 But ONLY 1 Minute To Spend It!",237M views,4 years ago,,https://www.youtube.com/watch?v=LeYsRMZFUq0
MrBeast,"Steal This $100,000 Diamond, You Keep It",229M views,4 years ago,,https://www.youtube.com/watch?v=Dc2ZRmuH5OM
MrBeast,"Press This Button To Win $100,000!",354M views,4 years ago,,https://www.youtube.com/watch?v=GLoeAJUcz38
MrBeast,I Survived 24 Hours Straight In Ice,181M views,5 years ago,,https://www.youtube.com/watch?v=SZQhgExjBvQ
MrBeast,I Uber’d People And Let Them Keep The Car,151M views,5 years ago,,https://www.youtube.com/watch?v=IoZri9hq7z4
MrBeast,I Filled My Brother’s House With Slime & Bought Him A New One,257M views,5 years ago,,https://www.youtube.com/watch?v=vp5sSqyZ5Go
MrBeast,Hi Me In 5 Years,145M views,5 years ago,,https://www.youtube.com/watch?v=AKJfakEsgy0
MrBeast,"Would You Rather Have A Giant Diamond or $100,000?",202M views,5 years ago,,https://www.youtube.com/watch?v=Vl3swga-Xrk
MrBeast,"I Gave My 40,000,000th Subscriber 40 Cars",208M views,5 years ago,,https://www.youtube.com/watch?v=UE5AHE2Ypr8
MrBeast,Why I Haven’t Been Uploading,59M views,5 years ago,,https://www.youtube.com/watch?v=TDiXxsQ0w2Q
MrBeast,"Get This Random Person 1,000,000 Subscribers",87M views,5 years ago,,https://www.youtube.com/watch?v=oD155zWANQg&pp=0gcJCQMKAYcqIYzv
MrBeast,Would YOU Rather Have A Lamborghini or This House?,229M views,5 years ago,,https://www.youtube.com/watch?v=s1ax8Tx_Jz0
MrBeast,"Last To Leave $800,000 Island Keeps It",291M views,5 years ago,,https://www.youtube.com/watch?v=NkE0AMGzpJY
MrBeast,I Bought A Private Island,182M views,5 years ago,,https://www.youtube.com/watch?v=FbM1yi4mMMc
MrBeast,"I Spent $1,000,000 On Lottery Tickets and WON",149M views,5 years ago,,https://www.youtube.com/watch?v=5V2B28OqfqM
MrBeast,I Ate The World’s Largest Slice Of Pizza,319M views,5 years ago,,https://www.youtube.com/watch?v=Rj_vssRaZlQ
MrBeast,I Adopted EVERY Dog In A Dog Shelter,273M views,5 years ago,,https://www.youtube.com/watch?v=YQDDm9HLkV4
MrBeast,"$1 vs $100,000 Firework!",255M views,5 years ago,,https://www.youtube.com/watch?v=erQ_9yEz0ls
MrBeast,I Broke Into A House,207M views,5 years ago,,https://www.youtube.com/watch?v=OAbP-V6fEVc
MrBeast,"Would You Rather Have $100,000 OR This Mystery Key?",274M views,5 years ago,,https://www.youtube.com/watch?v=_qAJMXfL6o0
MrBeast,I Built The World's Largest Lego Tower,213M views,5 years ago,,https://www.youtube.com/watch?v=59AYXzCa-Cs
MrBeast,I Spent 50 Hours In Solitary Confinement,338M views,5 years ago,,https://www.youtube.com/watch?v=r7zJ8srwwjk
MrBeast,If You Click This Video I'll Give My Friend .001$,227M views,5 years ago,,https://www.youtube.com/watch?v=YSoJPA8-oHc
MrBeast,"I Gave $200,000 To People Who Lost Their Jobs (Corona Virus)",47M views,5 years ago,,https://www.youtube.com/watch?v=5Hg_QSIJm8I
MrBeast,Videos I Could Not Upload...,173M views,5 years ago,,https://www.youtube.com/watch?v=gsWPpE4Rid0&pp=0gcJCQMKAYcqIYzv
MrBeast,I Spent 24 Hours In A Doomsday Bunker,228M views,5 years ago,,https://www.youtube.com/watch?v=HBMmK1c44sE
MrBeast,"Giving $1,000,000 Of Food To People In Need",68M views,5 years ago,,https://www.youtube.com/watch?v=oBYbxw8f5OI
MrBeast,I Ran A Marathon In The World's Largest Shoes,187M views,5 years ago,,https://www.youtube.com/watch?v=AiGKBNGlzHo
MrBeast,"$70,000 Extreme Hide And Seek - Challenge",160M views,5 years ago,,https://www.youtube.com/watch?v=_mdKvblL_8s
MrBeast,Anything You Can Fit In The Circle I’ll Pay For,327M views,5 years ago,,https://www.youtube.com/watch?v=yXWw0_UfSFg
